
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
BE:F1:71:D5:17:8B, 2023-07-28 09:13:03, 2023-07-28 11:50:50,  1, 195, WPA2, CCMP, PSK, -30,      846,      504,   0.  0.  0.  0,  12, C322U13 3965, 
6E:C7:EC:16:DA:1A, 2023-07-28 09:13:03, 2023-07-28 11:55:12,  1, 130, WPA2, CCMP, PSK, -30,      750,      116,   0.  0.  0.  0,   4, Cnet, 
9A:75:A8:B9:04:1E, 2023-07-28 09:13:03, 2023-07-28 11:53:31,  1, 360, WPA2, CCMP, PSK, -68,      694,       26,   0.  0.  0.  0,   2, KC, 
4A:EC:1E:DB:BF:95, 2023-07-28 09:13:03, 2023-07-28 11:04:01,  7, 360, WPA2, CCMP, PSK, -37,      510,       21,   0.  0.  0.  0,  14, POCO X5 Pro 5G, 
D2:6D:52:61:51:5D, 2023-07-28 09:13:03, 2023-07-28 10:30:19,  6, 130, WPA2, CCMP, PSK, -57,      647,        6,   0.  0.  0.  0,  25, , 
E8:28:C1:DC:B2:52, 2023-07-28 09:13:03, 2023-07-28 11:55:38,  6, 130, OPN, ,   , -63,      251,     3430, 172. 17.203.197,  13, MIREA_HOTSPOT, 
BE:F1:71:D6:10:D7, 2023-07-28 09:13:03, 2023-07-28 11:50:44, 11, 195, WPA2, CCMP, PSK, -27,     1647,       80,   0.  0.  0.  0,  12, C322U21 0566, 
0A:C5:E1:DB:17:7B, 2023-07-28 09:13:03, 2023-07-28 11:36:31, 11, 130, WPA2, CCMP, PSK, -38,     1251,       11,   0.  0.  0.  0,  13, AndroidAP177B, 
38:1A:52:0D:84:D7, 2023-07-28 09:13:03, 2023-07-28 10:25:02, 11, 130, WPA2, CCMP, PSK, -38,      704,        0,   0.  0.  0.  0,  24, EBFCD57F-EE81fI_DL_1AO2T, 
BE:F1:71:D5:0E:53, 2023-07-28 09:13:03, 2023-07-28 10:29:21,  1, 195, WPA2, CCMP, PSK, -66,      617,        0,   0.  0.  0.  0,  12, C322U06 9080, 
1E:93:E3:1B:3C:F4, 2023-07-28 09:13:04, 2023-07-28 11:53:37,  6, 180, WPA2, CCMP, PSK, -42,     1390,       86,   0.  0.  0.  0,  10, Galaxy A71, 
1C:7E:E5:8E:B7:DE, 2023-07-28 09:13:04, 2023-07-28 11:51:48, 14,  65, WPA2, CCMP, PSK, -62,      142,        0,   0.  0.  0.  0,   0, , 
38:1A:52:0D:97:60, 2023-07-28 09:13:05, 2023-07-28 10:21:11, 11, 130, WPA2, CCMP, PSK, -73,       28,        0,   0.  0.  0.  0,  24, EBFCD593-EE81fI_DMJ1AOI4, 
38:1A:52:0D:90:A1, 2023-07-28 09:13:06, 2023-07-28 11:37:27, 11, 130, WPA2, CCMP, PSK, -69,      112,        0,   0.  0.  0.  0,  24, EBFCD597-EE81fI_DMN1AOe1, 
E8:28:C1:DC:B2:50, 2023-07-28 09:13:06, 2023-07-28 11:55:12,  6, 130, OPN, ,   , -63,      260,      907, 172. 17. 95.169,  12, MIREA_GUESTS, 
E8:28:C1:DC:B2:51, 2023-07-28 09:13:06, 2023-07-28 11:55:11,  6, 130, OPN, ,   , -63,      279,        0,   0.  0.  0.  0,   0, , 
8E:55:4A:85:5B:01, 2023-07-28 09:13:06, 2023-07-28 11:55:09,  6,  65, WPA2, CCMP, PSK, -51,      248,      806,   0.  0.  0.  0,   8, Vladimir, 
E8:28:C1:DC:FF:F2, 2023-07-28 09:13:06, 2023-07-28 11:55:10,  6,  -1, OPN, ,   ,  -1,        0,        3, 172. 17. 84.217,   0, , 
00:25:00:FF:94:73, 2023-07-28 09:13:06, 2023-07-28 11:56:21, 44,  -1, OPN, ,   ,  -1,        0,        5,   0.  0.  0.  0,   0, , 
00:26:99:F2:7A:E2, 2023-07-28 09:13:06, 2023-07-28 11:54:53,  1,  54, WPA2, CCMP, PSK, -65,       84,       33,   0.  0.  0.  0,   4, GIVC, 
48:5B:39:F9:7A:48, 2023-07-28 09:13:06, 2023-07-28 11:55:11,  1, 270, WPA2, CCMP, PSK, -61,      109,        0,   0.  0.  0.  0,   0, , 
00:26:99:F2:7A:E1, 2023-07-28 09:13:06, 2023-07-28 11:51:18,  1,  54, WPA2, CCMP, PSK, -65,       65,        0,   0.  0.  0.  0,   3, IKB, 
0C:80:63:A9:6E:EE, 2023-07-28 09:13:08, 2023-07-28 11:53:36,  3, 270, WPA2, CCMP, PSK, -65,       42,       41,   0.  0.  0.  0,   0, , 
E8:28:C1:DD:04:52, 2023-07-28 09:13:09, 2023-07-28 11:56:05, 11, 130, OPN, ,   , -67,        4,      304, 172. 17.216.149,  13, MIREA_HOTSPOT, 
E8:28:C1:DE:74:31, 2023-07-28 09:13:13, 2023-07-28 10:27:06,  6, 130, OPN, ,   , -82,        2,        0,   0.  0.  0.  0,   0, , 
E8:28:C1:DE:74:32, 2023-07-28 09:13:13, 2023-07-28 10:39:43,  6, 130, OPN, ,   , -69,        1,        2, 172. 17. 93.250,  13, MIREA_HOTSPOT, 
9E:A3:A9:D6:28:3C, 2023-07-28 09:13:15, 2023-07-28 11:50:46, 14,  65, WPA2, CCMP, PSK, -61,       51,        0,   0.  0.  0.  0,   0, , 
9E:A3:A9:DB:7E:01, 2023-07-28 09:13:15, 2023-07-28 11:52:30, 14,  65, WPA2, CCMP, PSK, -74,       40,        0,   0.  0.  0.  0,   0, , 
E8:28:C1:DC:C8:32, 2023-07-28 09:13:17, 2023-07-28 11:52:32,  1, 130, OPN, ,   , -69,       12,       71, 192.168.155. 53,  13, MIREA_HOTSPOT, 
00:26:99:BA:75:80, 2023-07-28 09:13:20, 2023-07-28 11:55:10, 11,  54, WPA2, CCMP, PSK, -70,       61,      467,  10.111.  0.106,   4, GIVC, 
08:3A:2F:56:35:FE, 2023-07-28 09:13:27, 2023-07-28 11:55:53, 14,  -1, WPA, ,   ,  -1,        0,       81,   0.  0.  0.  0,   0, , 
00:23:EB:E3:81:F2, 2023-07-28 09:13:40, 2023-07-28 11:53:35,  1,  54, WPA2, CCMP, PSK, -72,        7,        1,   0.  0.  0.  0,   4, GIVC, 
E8:28:C1:DD:04:50, 2023-07-28 09:13:50, 2023-07-28 11:43:39, 11, 130, OPN, ,   , -78,       20,       35, 192.168.  0.  1,  12, MIREA_GUESTS, 
E8:28:C1:DD:04:51, 2023-07-28 09:13:57, 2023-07-28 10:48:00, 11, 130, OPN, ,   , -73,        9,        0,   0.  0.  0.  0,   0, , 
C6:BC:37:7A:67:0D, 2023-07-28 09:14:12, 2023-07-28 09:14:12, 11, 180, WPA2, CCMP, PSK, -82,        0,        0,   0.  0.  0.  0,  17, Mura's Galaxy A52, 
26:20:53:0C:98:E8, 2023-07-28 09:15:45, 2023-07-28 09:33:10, 44, 866, WPA3 WPA2, CCMP, SAE PSK, -85,        3,        0,   0.  0.  0.  0,  10, , 
E8:28:C1:DC:C8:30, 2023-07-28 09:15:45, 2023-07-28 11:36:30,  1, 130, OPN, ,   , -71,        7,       21, 172. 17.105.120,  12, MIREA_GUESTS, 
